query	question	triples
Retrieve artificial neural network apparatus claims where processing units receive input-neuron data and synaptic weights, generate partial results, and share partial results over an interconnect.	Retrieve artificial neural network apparatus claims where processing units receive input-neuron data and synaptic weights, generate partial results, and share partial results over an interconnect.	"{""named_entities"": [""artificial neural network"", ""processing units"", ""input-neuron data"", ""synaptic weights"", ""partial results"", ""interconnect""]}"
Retrieve tensor-processing accelerator claims on numerical representation optimization, such as quantized tensor formats or adaptive floating-point precision, to contrast with CNN GPU data layout, data locality, and inter-kernel redundancy memory behavior.	Retrieve tensor-processing accelerator claims on numerical representation optimization, such as quantized tensor formats or adaptive floating-point precision, to contrast with CNN GPU data layout, data locality, and inter-kernel redundancy memory behavior.	"{""named_entities"": [""tensor-processing accelerator"", ""quantized tensor formats"", ""adaptive floating-point precision"", ""CNN"", ""GPU"", ""data layout"", ""data locality"", ""inter-kernel redundancy""]}"
Retrieve AI processor package claims for vertically stacked memory and computational logic dies, including FeRAM storage of input data and weight factors, to compare with common protocol interface communication across chiplets on an interposer.	Retrieve AI processor package claims for vertically stacked memory and computational logic dies, including FeRAM storage of input data and weight factors, to compare with common protocol interface communication across chiplets on an interposer.	"{""named_entities"": [""AI processor package"", ""FeRAM"", ""input data"", ""weight factors"", ""common protocol interface"", ""chiplets"", ""interposer""]}"
Retrieve system-integration claims for memory-side decompression circuitry and for 3-D convolution on-chip memory organization, including kernel memory space, input feature map memory clusters, output feature map memory clusters, and memory controllers.	Retrieve system-integration claims for memory-side decompression circuitry and for 3-D convolution on-chip memory organization, including kernel memory space, input feature map memory clusters, output feature map memory clusters, and memory controllers.	"{""named_entities"": [""memory-side decompression circuitry"", ""3-D convolution"", ""kernel memory space"", ""input feature map memory clusters"", ""output feature map memory clusters"", ""memory controllers""]}"
Retrieve claim language comparing wafer-bonded modular memory units with exposed conductors for control, address, and data signals against cooperative ANN processing units sharing partial results over an interconnect.	Retrieve claim language comparing wafer-bonded modular memory units with exposed conductors for control, address, and data signals against cooperative ANN processing units sharing partial results over an interconnect.	"{""named_entities"": [""wafer-bonded modular memory units"", ""exposed conductors"", ""control signals"", ""address signals"", ""data signals"", ""ANN processing units"", ""partial results"", ""interconnect""]}"
Retrieve paired evidence for CNN GPU kernel reconstruction, data layout selection, and off-chip memory locality alongside chiplet serial protocol interface using common protocol interface circuits and data/control packets on an interposer.	Retrieve paired evidence for CNN GPU kernel reconstruction, data layout selection, and off-chip memory locality alongside chiplet serial protocol interface using common protocol interface circuits and data/control packets on an interposer.	"{""named_entities"": [""CNN"", ""GPU"", ""kernel reconstruction"", ""data layout selection"", ""off-chip memory locality"", ""chiplet serial protocol interface"", ""common protocol interface circuits"", ""data/control packets"", ""interposer""]}"
Retrieve patent passages on CNN off-chip memory data layout, data locality, and inter-kernel redundancy versus memory-controller PIM register buffering for non-PIM read/write instructions.	Retrieve patent passages on CNN off-chip memory data layout, data locality, and inter-kernel redundancy versus memory-controller PIM register buffering for non-PIM read/write instructions.	"{""named_entities"": [""CNN"", ""off-chip memory"", ""data layout"", ""data locality"", ""inter-kernel redundancy"", ""memory-controller"", ""PIM register"", ""non-PIM read/write instructions""]}"
Retrieve claims contrasting interposer chiplet serial protocol interface using common protocol interface circuits with wafer-bonded memory die and logic die conductors for embedded high-bandwidth memory access.	Retrieve claims contrasting interposer chiplet serial protocol interface using common protocol interface circuits with wafer-bonded memory die and logic die conductors for embedded high-bandwidth memory access.	"{""named_entities"": [""interposer"", ""chiplet"", ""serial protocol interface"", ""common protocol interface circuits"", ""wafer-bonded memory die"", ""logic die"", ""conductors"", ""high-bandwidth memory""]}"
Retrieve evidence for compressed data received and decompressed on a PIM device and embedded high-bandwidth fast-access memory formed by wafer bonding memory and logic semiconductor dies.	Retrieve evidence for compressed data received and decompressed on a PIM device and embedded high-bandwidth fast-access memory formed by wafer bonding memory and logic semiconductor dies.	"{""named_entities"": [""compressed data"", ""PIM device"", ""decompressed"", ""high-bandwidth fast-access memory"", ""wafer bonding"", ""memory semiconductor die"", ""logic semiconductor die""]}"
Retrieve technical layers for GPU CNN off-chip memory layout optimization, interposer chiplet serial data/control packet communication, and PIM-device decompression of compressed data.	Retrieve technical layers for GPU CNN off-chip memory layout optimization, interposer chiplet serial data/control packet communication, and PIM-device decompression of compressed data.	"{""named_entities"": [""GPU CNN"", ""off-chip memory"", ""layout optimization"", ""interposer"", ""chiplet"", ""serial data/control packets"", ""PIM-device"", ""compressed data""]}"
Retrieve passages separating GPU-side CNN data layout/locality optimization from PIM in-memory decompression and wafer-bonded memory-to-logic high-bandwidth access.	Retrieve passages separating GPU-side CNN data layout/locality optimization from PIM in-memory decompression and wafer-bonded memory-to-logic high-bandwidth access.	"{""named_entities"": [""GPU-side CNN"", ""data layout"", ""data locality"", ""PIM"", ""in-memory decompression"", ""wafer-bonded memory-to-logic"", ""high-bandwidth access""]}"
Retrieve CNN GPU memory-efficiency disclosures on fast data layout transformation, pooling-layer working set expansion in on-chip memory, inter-kernel redundancy elimination, kernel fusion, and thread-level parallelism injection.	Retrieve CNN GPU memory-efficiency disclosures on fast data layout transformation, pooling-layer working set expansion in on-chip memory, inter-kernel redundancy elimination, kernel fusion, and thread-level parallelism injection.	"{""named_entities"": [""CNN"", ""GPU"", ""fast data layout transformation"", ""pooling-layer working set expansion"", ""on-chip memory"", ""inter-kernel redundancy elimination"", ""kernel fusion"", ""thread-level parallelism injection""]}"
Retrieve distributed matrix processor architecture claims for tensor instructions that collect output tensor value statistics and dynamically assign a decimal position for fixed-point numerical representation.	Retrieve distributed matrix processor architecture claims for tensor instructions that collect output tensor value statistics and dynamically assign a decimal position for fixed-point numerical representation.	"{""named_entities"": [""distributed matrix processor architecture"", ""tensor instructions"", ""output tensor value statistics"", ""decimal position"", ""fixed-point numerical representation""]}"
Retrieve accelerated deep learning wavelet representation using index specifier, virtual channel specifier, task specifier, and data element specifier routed through nearest-neighbor routers in a 2D mesh processing-element array.	Retrieve accelerated deep learning wavelet representation using index specifier, virtual channel specifier, task specifier, and data element specifier routed through nearest-neighbor routers in a 2D mesh processing-element array.	"{""named_entities"": [""accelerated deep learning"", ""wavelet representation"", ""index specifier"", ""virtual channel specifier"", ""task specifier"", ""data element specifier"", ""nearest-neighbor routers"", ""2D mesh"", ""processing-element array""]}"
Retrieve interposer chiplet communication interface disclosures with first and second common protocol interface circuits coupled by a communication link to form a serial protocol interface between integrated circuits.	Retrieve interposer chiplet communication interface disclosures with first and second common protocol interface circuits coupled by a communication link to form a serial protocol interface between integrated circuits.	"{""named_entities"": [""interposer"", ""chiplet communication interface"", ""common protocol interface circuits"", ""communication link"", ""serial protocol interface"", ""integrated circuits""]}"
Retrieve AI processor three-dimensional stacked memory package claims where a first die includes FeRAM bit-cells and a vertically stacked inference die includes computational logic multiplier cells coupled to stored input data and weights.	Retrieve AI processor three-dimensional stacked memory package claims where a first die includes FeRAM bit-cells and a vertically stacked inference die includes computational logic multiplier cells coupled to stored input data and weights.	"{""named_entities"": [""AI processor"", ""three-dimensional stacked memory"", ""first die"", ""FeRAM bit-cells"", ""vertically stacked inference die"", ""computational logic"", ""multiplier cells"", ""input data"", ""weights""]}"
Search for a microelectronic device with a conductive via electrode separated from a microelectronic component by a trench or gap-region stress relief structure.	Search for a microelectronic device with a conductive via electrode separated from a microelectronic component by a trench or gap-region stress relief structure.	"{""named_entities"": [""microelectronic device"", ""conductive via electrode"", ""microelectronic component"", ""trench"", ""gap-region stress relief structure""]}"
Find memory-device claims reciting receiving compressed data to a processing-in-memory PIM device and decompressing the compressed data on the PIM device.	Find memory-device claims reciting receiving compressed data to a processing-in-memory PIM device and decompressing the compressed data on the PIM device.	"{""named_entities"": [""memory device"", ""compressed data"", ""processing-in-memory"", ""PIM device"", ""decompressing""]}"
Retrieve neural network unit claims with at least 512 processing units, registers reading memory rows, multiplexed-register rotation, and column-channel-row convolution.	Retrieve neural network unit claims with at least 512 processing units, registers reading memory rows, multiplexed-register rotation, and column-channel-row convolution.	"{""named_entities"": [""neural network unit"", ""processing units"", ""registers"", ""memory rows"", ""multiplexed-register rotation"", ""column-channel-row convolution""]}"
Search for wafer-bonded memory die and logic die providing embedded high-bandwidth high-capacity memory using modular three-dimensional storage-transistor arrays.	Search for wafer-bonded memory die and logic die providing embedded high-bandwidth high-capacity memory using modular three-dimensional storage-transistor arrays.	"{""named_entities"": [""memory die"", ""logic die"", ""wafer bonding"", ""high-bandwidth memory"", ""high-capacity memory"", ""modular three-dimensional storage-transistor arrays""]}"
Find artificial neural network processing circuits receiving input-neuron data and synaptic weights, generating partial results, and sharing partial results over an interconnect.	Find artificial neural network processing circuits receiving input-neuron data and synaptic weights, generating partial results, and sharing partial results over an interconnect.	"{""named_entities"": [""artificial neural network"", ""processing circuits"", ""input-neuron data"", ""synaptic weights"", ""partial results"", ""interconnect""]}"
Retrieve tensor accelerator claims on numerical representation, data type conversion, precision formats, and tensor processing optimization to compare with CNN GPU memory data layout, locality, and inter-kernel redundancy.	Retrieve tensor accelerator claims on numerical representation, data type conversion, precision formats, and tensor processing optimization to compare with CNN GPU memory data layout, locality, and inter-kernel redundancy.	"{""named_entities"": [""tensor accelerator"", ""numerical representation"", ""data type conversion"", ""precision formats"", ""tensor processing"", ""CNN"", ""GPU"", ""data layout"", ""data locality"", ""inter-kernel redundancy""]}"
Retrieve semiconductor package claims for interposer-mounted dies communicating through a common protocol and for vertically stacked memory-compute dies used in AI processing.	Retrieve semiconductor package claims for interposer-mounted dies communicating through a common protocol and for vertically stacked memory-compute dies used in AI processing.	"{""named_entities"": [""semiconductor package"", ""interposer-mounted dies"", ""common protocol"", ""vertically stacked memory-compute dies"", ""AI processing""]}"
Retrieve system-integration claims covering memory-side decompression engines and on-chip memory access scheduling, buffers, or address generation for three-dimensional convolution.	Retrieve system-integration claims covering memory-side decompression engines and on-chip memory access scheduling, buffers, or address generation for three-dimensional convolution.	"{""named_entities"": [""system-integration"", ""memory-side decompression engines"", ""on-chip memory access"", ""address generation"", ""three-dimensional convolution""]}"
Retrieve platform-integration claims comparing wafer-bonded logic and memory die conductors for high-bandwidth access with cooperative ANN computation across multiple processing units.	Retrieve platform-integration claims comparing wafer-bonded logic and memory die conductors for high-bandwidth access with cooperative ANN computation across multiple processing units.	"{""named_entities"": [""platform-integration"", ""wafer-bonded logic"", ""memory die conductors"", ""high-bandwidth access"", ""ANN computation"", ""multiple processing units""]}"
Retrieve interposer chiplet communication claims using a common protocol interface to pair with CNN GPU optimization claims on data layout, locality, TLP, and kernel reconstruction.	Retrieve interposer chiplet communication claims using a common protocol interface to pair with CNN GPU optimization claims on data layout, locality, TLP, and kernel reconstruction.	"{""named_entities"": [""interposer"", ""chiplet communication"", ""common protocol interface"", ""CNN"", ""GPU"", ""data layout"", ""data locality"", ""TLP"", ""kernel reconstruction""]}"
Retrieve evidence linking CNN off-chip memory data layout, data locality, and inter-kernel redundancy to PIM device compressed-data decompression operations.	Retrieve evidence linking CNN off-chip memory data layout, data locality, and inter-kernel redundancy to PIM device compressed-data decompression operations.	"{""named_entities"": [""CNN"", ""off-chip memory"", ""data layout"", ""data locality"", ""inter-kernel redundancy"", ""PIM device"", ""compressed-data decompression""]}"
Retrieve claim language comparing common interposer chiplet serial protocol interfaces with wafer-bonded memory and logic die surface conductor connectivity.	Retrieve claim language comparing common interposer chiplet serial protocol interfaces with wafer-bonded memory and logic die surface conductor connectivity.	"{""named_entities"": [""common interposer"", ""chiplet"", ""serial protocol interface"", ""wafer-bonded memory"", ""logic die"", ""surface conductor""]}"
Retrieve patents describing decompression of compressed data on a PIM device and wafer-bonded high-bandwidth memory access between memory and logic dies.	Retrieve patents describing decompression of compressed data on a PIM device and wafer-bonded high-bandwidth memory access between memory and logic dies.	"{""named_entities"": [""compressed data"", ""PIM device"", ""wafer-bonded high-bandwidth memory"", ""memory die"", ""logic die""]}"
Retrieve technical layers for GPU CNN memory-efficiency techniques, interposer chiplet communication protocol circuitry, and PIM compressed-data decompression.	Retrieve technical layers for GPU CNN memory-efficiency techniques, interposer chiplet communication protocol circuitry, and PIM compressed-data decompression.	"{""named_entities"": [""GPU"", ""CNN"", ""memory-efficiency techniques"", ""interposer"", ""chiplet communication"", ""protocol circuitry"", ""PIM"", ""compressed-data decompression""]}"
Retrieve evidence separating GPU-side CNN data layout locality optimization, in-memory PIM decompression, and wafer-bonded high-bandwidth memory-to-logic access.	Retrieve evidence separating GPU-side CNN data layout locality optimization, in-memory PIM decompression, and wafer-bonded high-bandwidth memory-to-logic access.	"{""named_entities"": [""GPU-side CNN"", ""data layout"", ""locality optimization"", ""PIM decompression"", ""wafer-bonded high-bandwidth memory"", ""memory-to-logic access""]}"
